         1497223 function calls (1446598 primitive calls) in 64.245 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
2340/2339    0.025    0.000  106.851    0.046 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/base_events.py:1953(_run_once)
        1    0.000    0.000   63.582   63.582 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/runners.py:160(run)
        1    0.000    0.000   63.582   63.582 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/runners.py:86(run)
        1    0.000    0.000   63.582   63.582 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/base_events.py:684(run_until_complete)
        1    0.000    0.000   63.582   63.582 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/base_events.py:673(run_forever)
     2339    0.009    0.000   58.906    0.025 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/selectors.py:540(select)
2895/2894    0.016    0.000   47.903    0.017 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/events.py:87(_run)
     2340   32.442    0.014   41.875    0.018 {method 'control' of 'select.kqueue' objects}
2895/2894    0.428    0.000   26.288    0.009 {method 'run' of '_contextvars.Context' objects}
3613/2855    0.059    0.000   14.230    0.005 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/queue.py:180(get)
1540/1538    0.017    0.000   14.123    0.009 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/threading.py:327(wait)
8359/7475   13.832    0.002   14.078    0.002 {method 'acquire' of '_thread.lock' objects}
        8    0.000    0.000   13.751    1.719 /Users/ash/develop/phoenix/phoenix-vapi/src/managers/call_manager.py:926(_cleanup_call_audio)
        2    0.000    0.000   13.751    6.876 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/threading.py:1056(join)
       11    0.000    0.000   13.200    1.200 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/openai/_base_client.py:1276(post)
       11    0.000    0.000   13.198    1.200 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/openai/_base_client.py:953(request)
       11    0.000    0.000   13.198    1.200 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/openai/_base_client.py:975(_request)
       11    0.000    0.000   13.144    1.195 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/httpx/_client.py:879(send)
       11    0.000    0.000   13.109    1.192 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/httpx/_client.py:930(_send_handling_auth)
       11    0.000    0.000   13.105    1.191 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/httpx/_client.py:964(_send_handling_redirects)
       11    0.000    0.000   13.103    1.191 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/httpx/_client.py:1001(_send_single_request)
       11    0.001    0.000   13.087    1.190 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/httpx/_transports/default.py:230(handle_request)
       11    0.000    0.000   13.083    1.189 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/httpcore/_sync/connection_pool.py:199(handle_request)
       11    0.000    0.000   13.079    1.189 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/httpcore/_sync/connection.py:69(handle_request)
       42    0.001    0.000   12.843    0.306 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/httpcore/_sync/http11.py:209(_receive_event)
       26    0.000    0.000   12.830    0.493 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/httpcore/_backends/sync.py:124(read)
       11    0.001    0.000   12.822    1.166 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/httpcore/_sync/http11.py:65(handle_request)
       11    0.000    0.000   12.812    1.165 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/httpcore/_sync/http11.py:170(_receive_response_headers)
       18    0.000    0.000   11.742    0.652 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/concurrent/futures/thread.py:54(run)
      949    0.013    0.000    8.825    0.009 /Users/ash/develop/phoenix/phoenix-vapi/src/managers/call_manager.py:1094(_receive_bot_audio)
        5    0.000    0.000    7.683    1.537 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/openai/resources/audio/transcriptions.py:112(create)
       38    0.000    0.000    7.664    0.202 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/ssl.py:1129(read)
       38    7.567    0.199    7.663    0.202 {method 'read' of '_ssl._SSLSocket' objects}
       26    0.000    0.000    6.579    0.253 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/ssl.py:1278(recv)
        6    0.000    0.000    5.563    0.927 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/openai/_utils/_utils.py:245(wrapper)
        6    0.000    0.000    5.563    0.927 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/openai/resources/chat/completions/completions.py:837(create)
      947    3.292    0.003    3.313    0.003 {method 'read_frames' of 'daily.VirtualSpeakerDevice' objects}
      102    2.213    0.022    2.316    0.023 {method 'write_frames' of 'daily.VirtualMicrophoneDevice' objects}
     1403    1.562    0.001    1.835    0.001 {built-in method time.sleep}
       23    0.000    0.000    1.549    0.067 /Users/ash/develop/phoenix/phoenix-vapi/src/managers/call_manager.py:95(transition_to)
       16    0.000    0.000    1.548    0.097 /Users/ash/develop/phoenix/phoenix-vapi/src/managers/call_manager.py:219(on_call_state_updated)
       16    0.000    0.000    1.548    0.097 /Users/ash/develop/phoenix/phoenix-vapi/src/managers/call_manager.py:508(handle_call_state_updated)
        4    0.000    0.000    1.545    0.386 /Users/ash/develop/phoenix/phoenix-vapi/src/managers/call_manager.py:430(_handle_left_state)
        2    0.000    0.000    1.544    0.772 /Users/ash/develop/phoenix/phoenix-vapi/src/managers/memory_manager.py:83(extract_and_store_conversation_memories)
        2    0.000    0.000    1.540    0.770 /Users/ash/develop/phoenix/phoenix-vapi/src/managers/memory_manager.py:99(extract_conversation_memories)
       36    0.000    0.000    1.286    0.036 /Users/ash/develop/phoenix/phoenix-vapi/src/services/activity_service.py:75(_process_transitions)
       34    0.000    0.000    1.286    0.038 /Users/ash/develop/phoenix/phoenix-vapi/src/services/activity_service.py:160(_start_activity)
       16    0.000    0.000    1.278    0.080 /Users/ash/develop/phoenix/phoenix-vapi/src/services/conversation_service.py:29(start_conversation)
       14    0.000    0.000    1.278    0.091 /Users/ash/develop/phoenix/phoenix-vapi/src/managers/call_manager.py:975(start_call)
     1501    0.034    0.000    1.243    0.001 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/sounddevice.py:888(callback_ptr)
        2    0.000    0.000    1.236    0.618 /Users/ash/develop/phoenix/phoenix-vapi/src/managers/call_manager.py:959(_create_vapi_call)
        2    0.000    0.000    1.236    0.618 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/requests/api.py:103(post)
        2    0.000    0.000    1.236    0.618 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/requests/api.py:14(request)
        2    0.000    0.000    1.235    0.618 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/requests/sessions.py:500(request)
        2    0.000    0.000    1.232    0.616 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/requests/sessions.py:673(send)
        2    0.000    0.000    1.230    0.615 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/requests/adapters.py:613(send)
        2    0.000    0.000    1.229    0.615 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/urllib3/connectionpool.py:592(urlopen)
        2    0.000    0.000    1.229    0.615 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/urllib3/connectionpool.py:377(_make_request)
     1501    0.242    0.000    1.149    0.001 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/sounddevice.py:2731(_wrap_callback)
        2    0.000    0.000    1.086    0.543 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/urllib3/connection.py:485(getresponse)
        2    0.000    0.000    1.085    0.543 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/http/client.py:1384(getresponse)
        2    0.000    0.000    1.085    0.543 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/http/client.py:324(begin)
       12    0.000    0.000    1.085    0.090 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/socket.py:706(readinto)
       12    0.000    0.000    1.084    0.090 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/ssl.py:1289(recv_into)
        2    0.000    0.000    1.084    0.542 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/http/client.py:291(_read_status)
       26    0.000    0.000    1.084    0.042 {method 'readline' of '_io.BufferedReader' objects}
     1501    0.010    0.000    0.863    0.001 /Users/ash/develop/phoenix/phoenix-vapi/src/managers/audio_manager.py:348(_audio_callback)
     1501    0.049    0.000    0.701    0.000 /Users/ash/develop/phoenix/phoenix-vapi/src/managers/audio_manager.py:260(_process_input)
    884/4    0.001    0.000    0.695    0.174 <frozen importlib._bootstrap_external>:1020(exec_module)
   980/11    0.003    0.000    0.695    0.063 <frozen importlib._bootstrap>:1349(_find_and_load)
   977/11    0.002    0.000    0.695    0.063 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
   925/12    0.002    0.000    0.693    0.058 <frozen importlib._bootstrap>:911(_load_unlocked)
   2049/7    0.001    0.000    0.693    0.099 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
    962/4    0.012    0.000    0.693    0.173 {built-in method builtins.exec}
        1    0.000    0.000    0.665    0.665 /Users/ash/develop/phoenix/phoenix-vapi/src/main.py:1(<module>)
      783    0.009    0.000    0.573    0.001 /Users/ash/develop/phoenix/phoenix-vapi/src/managers/wakeword_manager.py:76(_process_audio)
        2    0.000    0.000    0.564    0.282 /Users/ash/develop/phoenix/phoenix-vapi/src/managers/call_manager.py:1142(_input_audio_thread)
        2    0.000    0.000    0.557    0.278 {method 'join' of '_thread._ThreadHandle' objects}
      783    0.540    0.001    0.545    0.001 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/pvporcupine/_porcupine.py:224(process)
   445/43    0.000    0.000    0.492    0.011 {built-in method builtins.__import__}
        1    0.000    0.000    0.473    0.473 /Users/ash/develop/phoenix/phoenix-vapi/src/services/activity_service.py:1(<module>)
        1    0.000    0.000    0.462    0.462 /Users/ash/develop/phoenix/phoenix-vapi/src/services/conversation_service.py:1(<module>)
        1    0.000    0.000    0.375    0.375 /Users/ash/develop/phoenix/phoenix-vapi/src/managers/memory_manager.py:1(<module>)
        1    0.000    0.000    0.374    0.374 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/openai/__init__.py:1(<module>)
       72    0.000    0.000    0.333    0.005 /Users/ash/develop/phoenix/phoenix-vapi/src/main.py:78(run)
  679/318    0.001    0.000    0.304    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
    35/27    0.000    0.000    0.272    0.010 /Users/ash/develop/phoenix/phoenix-vapi/src/services/service.py:166(stop_service)
        1    0.000    0.000    0.263    0.263 /Users/ash/develop/phoenix/phoenix-vapi/src/services/audio_service.py:31(stop)
        1    0.000    0.000    0.263    0.263 /Users/ash/develop/phoenix/phoenix-vapi/src/managers/audio_manager.py:449(stop)
        4    0.000    0.000    0.257    0.064 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/httpcore/_sync/connection.py:105(_connect)
        1    0.000    0.000    0.195    0.195 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/openai/types/__init__.py:1(<module>)
2263/2241    0.015    0.000    0.193    0.000 {built-in method builtins.__build_class__}
        6    0.000    0.000    0.184    0.031 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/ssl.py:449(wrap_socket)
        6    0.000    0.000    0.184    0.031 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/ssl.py:990(_create)
        6    0.000    0.000    0.184    0.031 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/ssl.py:1365(do_handshake)
        6    0.181    0.030    0.183    0.031 {method 'do_handshake' of '_ssl._SSLSocket' objects}
      884    0.003    0.000    0.178    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
        1    0.000    0.000    0.175    0.175 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/openai/_client.py:1(<module>)
        1    0.000    0.000    0.174    0.174 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/openai/resources/__init__.py:1(<module>)
        1    0.000    0.000    0.157    0.157 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/openai/types/batch.py:1(<module>)
        6    0.132    0.022    0.156    0.026 {method 'connect' of '_socket.socket' objects}
     1501    0.033    0.000    0.153    0.000 /Users/ash/develop/phoenix/phoenix-vapi/src/managers/audio_manager.py:299(_process_output)
        1    0.000    0.000    0.150    0.150 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/openai/_models.py:1(<module>)
        1    0.000    0.000    0.148    0.148 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/openai/resources/beta/__init__.py:1(<module>)
        1    0.000    0.000    0.148    0.148 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/openai/resources/beta/beta.py:1(<module>)
        2    0.000    0.000    0.142    0.071 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/urllib3/connectionpool.py:1085(_validate_conn)
        2    0.000    0.000    0.142    0.071 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/urllib3/connection.py:669(connect)
        4    0.000    0.000    0.140    0.035 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/httpcore/_backends/sync.py:188(connect_tcp)
        4    0.000    0.000    0.140    0.035 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/socket.py:822(create_connection)
        1    0.000    0.000    0.135    0.135 /Users/ash/develop/phoenix/phoenix-vapi/src/services/audio_service.py:1(<module>)
